pbcIndex;aseIndex;x;y;d;energy;prePES;BLR;nsw3;nsw6;energy_cpu;prePES_cpu;nsw3_cpu;nsw6_cpu
0;0;0.0;0.0;0.25; -497.87492875;-500.75149605;7.6025941512147979;-496.73477322;-497.28170602;5626;47;528;983
1;1;0.0;0.0833333333333;0.25; -496.76340017;-499.51413271;8.4713003942387903;-495.67766646;-496.52873352;16910;76;1433;2664
2;2;0.0;0.166666666667;0.25; -494.49975418;-495.41838306;11.677904676934403;-492.54362437;-494.04493767;14121;78;1552;2771
3;3;0.0;0.25;0.25; -492.43361113;-490.41990403;12.459711626230254;-489.02673486;-491.89795643;17396;80;1677;3033
4;4;0.0;0.333333333333;0.25; -491.04688284;-486.90862769;11.257878497390076;-486.69025838;-490.58878557;17012;65;1606;2888
5;5;0.0;0.416666666667;0.25; -490.30117886;-483.94494918;11.72802936388042;-486.39295963;-489.94680616;15890;84;1436;2603
6;6;0.0;0.5;0.25; -490.17935072;-482.29475658;12.898018795258452;-486.07310691;-489.83570412;9980;72;1126;1991
7;7;0.0;0.583333333333;0.25; -490.30101513;-483.9446495;14.982114957360322;-486.39326982;-489.94677047;12780;84;1507;2712
8;8;0.0;0.666666666667;0.25; -491.04684736;-486.90803568;12.898212185487202;-486.69024003;-490.58877508;16240;80;1597;2868
9;9;0.0;0.75;0.25; -492.43401920;-490.41945727;11.728221604865418;-489.02674120;-491.8979557;22521;71;1668;3018
10;10;0.0;0.833333333333;0.25; -494.49976124;-495.41825203;11.257891697072296;-492.54362848;-494.04494241;13261;76;1548;2764
11;11;0.0;0.916666666667;0.25; -496.76324101;-499.51421885;13.304635706592672;-495.67767774;-496.52869628;12588;67;1433;2659
12;12;0.0833333333333;0.0;0.25; -496.76336443;-499.5141102;13.89026966029018;-495.67766864;-496.52870866;18340;76;1443;2678
13;13;0.0833333333333;0.0833333333333;0.25; -495.25894871;-497.59968553;8.4713115968005468;-494.02225744;-495.08680217;6936;53;1016;1867
14;14;0.0833333333333;0.166666666667;0.25; -492.79907474;-493.04156492;13.890379605000629;-490.96091136;-492.5336922;12585;80;1164;2053
15;15;0.0833333333333;0.25;0.25; -490.39828182;-485.77193783;13.304938962944661;-487.20939891;-490.01532285;14692;68;1472;2599
16;16;0.0833333333333;0.333333333333;0.25; -488.66894454;-475.53752772;11.525257990876778;-483.48826559;-488.15024704;15581;96;1938;3161
17;17;0.0833333333333;0.416666666667;0.25; -487.70781394;-470.75149605;11.184381651190733;-468.40991811;-485.28170602;17680;109;2213;3936
18;18;0.0833333333333;0.5;0.25; -487.70783587;-470.75149605;12.300899927774402;-468.40917729;-485.28170602;20446;96;2217;3939
19;19;0.0833333333333;0.583333333333;0.25; -488.66904005;-475.53750776;12.898078670747324;-483.48827041;-488.15024587;16885;85;1935;3159
20;20;0.0833333333333;0.666666666667;0.25; -490.39822565;-485.77151408;12.8982121854872;-487.20940147;-490.01532653;14793;69;1471;2598
21;21;0.0833333333333;0.75;0.25; -492.79889962;-493.04134043;12.301259267920846;-490.96092598;-492.53369569;13068;60;1462;2581
22;22;0.0833333333333;0.833333333333;0.25; -495.25850364;-497.60025202;11.184466908436601;-494.02234276;-495.08616714;6577;47;1012;1858
23;23;0.0833333333333;0.916666666667;0.25; -496.76339132;-499.51416825;11.525243731793324;-495.67767324;-496.52871169;22263;60;1433;2662
24;24;0.166666666667;0.0;0.25; -494.49975422;-495.41836705;8.4713003942387921;-492.54362591;-494.04493667;14163;60;1559;2781
25;25;0.166666666667;0.0833333333333;0.25; -492.79894273;-493.04156651;11.677904676934403;-490.96091523;-492.53369211;10875;60;1168;2060
26;26;0.166666666667;0.166666666667;0.25; -490.04254755;-484.72281568;10.685332622997366;-486.99947373;-489.64661593;11033;47;1018;1816
27;27;0.166666666667;0.25;0.25; -487.43556118;-470.75149605;11.678014874210913;-468.74858555;-485.28170602;12873;92;2147;3832
28;28;0.166666666667;0.333333333333;0.25; -438.85476742;-470.75149605;11.157576007240104;-438.85476742;-485.28170602;1560;92;1560;1560
29;29;0.166666666667;0.416666666667;0.25; -425.16065309;-470.75149605;12.181254467720322;-425.16065309;-485.28170602;1140;73;1140;1140
30;30;0.166666666667;0.5;0.25; -438.85476937;-470.75149605;11.184420173471185;-438.85476937;-485.28170602;1242;92;1242;1242
31;31;0.166666666667;0.583333333333;0.25; -487.43556191;-470.75149605;11.728087790251179;-468.74934534;-485.28170602;11909;95;1983;3542
32;32;0.166666666667;0.666666666667;0.25; -490.04264492;-484.72321871;11.635018800608568;-486.99945420;-489.64661094;12116;58;939;1675
33;33;0.166666666667;0.75;0.25; -492.79864230;-493.04139985;11.728221604865412;-490.96089812;-492.53401738;10624;74;1331;2364
34;34;0.166666666667;0.833333333333;0.25; -494.49975584;-495.41833437;11.184466908436599;-492.54362137;-494.04493911;13344;74;1448;2590
35;35;0.166666666667;0.916666666667;0.25; -495.08894506;-495.3904583;10.685156351461657;-493.15381067;-494.14858029;11400;60;1038;1748
36;36;0.25;0.0;0.25; -492.43396696;-490.41991008;12.181280095260853;-489.02673540;-491.89795651;20371;77;1664;3012
37;37;0.25;0.0833333333333;0.25; -490.39828495;-485.77191057;11.157554982032904;-487.20940621;-490.01532353;16073;74;1480;2613
38;38;0.25;0.166666666667;0.25; -487.43556148;-470.75149605;8.4713115968005468;-468.74865033;-485.28170602;12912;92;2124;3819
39;39;0.25;0.25;0.25; -425.74167311;-470.75149605;8.4713087487120813;-425.74167311;-485.28170602;2604;90;2604;2604
40;40;0.25;0.333333333333;0.25; -382.97090390;-470.75149605;10.177153335384769;-382.97090390;-485.28170602;1874;92;1874;1874
41;41;0.25;0.416666666667;0.25; -382.97090416;-470.75149605;11.157568270357091;-382.97090416;-485.28170602;1824;92;1824;1824
42;42;0.25;0.5;0.25; -425.74166922;-470.75149605;11.525249282485305;-425.74166922;-485.28170602;930;72;930;930
43;43;0.25;0.583333333333;0.25; -487.43556596;-470.75149605;11.257920472635032;-468.74888292;-485.28170602;11945;92;1992;3555
44;44;0.25;0.666666666667;0.25; -490.39796568;-485.77186546;10.376961618473235;-487.20940335;-490.01532681;11068;61;1362;2405
45;45;0.25;0.75;0.25; -492.43400806;-490.41971347;10.377026529612946;-489.02673639;-491.89795387;29874;80;2156;3937
46;46;0.25;0.833333333333;0.25; -493.36299061;-488.3958629;13.890265559712596;-477.43006146;-490.11368094;15096;64;1520;2633
47;47;0.25;0.916666666667;0.25; -493.36300361;-488.39598412;11.257891697072299;-477.43004934;-490.1136807;19220;81;1930;3344
48;48;0.333333333333;0.0;0.25; -491.04693874;-486.90865934;11.525243731793321;-486.69023488;-490.58877838;18799;78;1599;2874
49;49;0.333333333333;0.0833333333333;0.25; -488.66900338;-475.53631014;11.157554982032904;-483.48825881;-488.15025116;13985;99;1781;2909
50;50;0.333333333333;0.166666666667;0.25; -438.85476740;-470.75149605;10.177078070990635;-438.85476740;-485.28170602;1240;92;1240;1240
51;51;0.333333333333;0.25;0.25; -382.97090168;-470.75149605;14.315670801061145;-382.97090168;-485.28170602;1520;102;1520;1520
52;52;0.333333333333;0.333333333333;0.25; -349.08776208;-470.75149605;12.679118002822896;-349.08776208;-485.28170602;684;61;684;684
53;53;0.333333333333;0.416666666667;0.25; -382.97090236;-470.75149605;10.643578979751519;-382.97090236;-485.28170602;1578;92;1578;1578
54;54;0.333333333333;0.5;0.25; -438.85476584;-470.75149605;10.643536559453423;-438.85476584;-485.28170602;1560;92;1560;1560
55;55;0.333333333333;0.583333333333;0.25; -488.66896275;-475.53715789;12.679100860663247;-483.48825890;-488.15027101;9780;93;1505;2472
56;56;0.333333333333;0.666666666667;0.25; -491.04684764;-486.90853091;11.67790247454764;-486.69023346;-490.58877616;12706;80;1271;2283
57;57;0.333333333333;0.75;0.25; -492.31600425;-485.63619395;14.315635463685426;-475.76802979;-487.59465832;19150;78;1775;3148
58;58;0.333333333333;0.833333333333;0.25; -492.72564836;-482.5132733;13.890269660290178;-461.56383749;-487.62831642;17470;60;1408;2561
59;59;0.333333333333;0.916666666667;0.25; -492.31596804;-485.63625671;10.685332622997372;-475.76801168;-487.59466097;26901;78;1896;3364
60;60;0.416666666667;0.0;0.25; -490.30101455;-483.94495594;8.4713087487120795;-486.39327788;-489.94676981;12741;81;1505;2708
61;61;0.416666666667;0.0833333333333;0.25; -487.70782388;-470.75149605;11.677902474547638;-468.41165314;-485.28170602;22933;135;2176;3846
62;62;0.416666666667;0.166666666667;0.25; -425.16064889;-470.75149605;13.890265559712599;-425.16064889;-485.28170602;1142;73;1142;1142
63;63;0.416666666667;0.25;0.25; -382.97090606;-470.75149605;16.324136720050536;-382.97090606;-485.28170602;1872;118;1872;1872
64;64;0.416666666667;0.333333333333;0.25; -382.97090386;-470.75149605;14.183825118565842;-382.97090386;-485.28170602;1870;99;1870;1870
65;65;0.416666666667;0.416666666667;0.25; -425.16065175;-470.75149605;12.093727038973885;-425.16065175;-485.28170602;1346;78;1346;1346
66;66;0.416666666667;0.5;0.25; -487.70784694;-470.75149605;10.943291363212708;-468.41052859;-485.28170602;18533;143;2064;3650
67;67;0.416666666667;0.583333333333;0.25; -490.30119971;-483.94482538;13.304660860857538;-486.39326296;-489.94677703;18423;88;1511;2717
68;68;0.416666666667;0.666666666667;0.25; -491.78048525;-487.74254055;12.093581172710127;-486.96336032;-491.24591039;25700;86;3677;6651
69;69;0.416666666667;0.75;0.25; -492.37963650;-485.10979212;14.183683201289455;-475.80771254;-486.96650509;24756;77;2036;3698
70;70;0.416666666667;0.833333333333;0.25; -492.38053614;-485.10973989;16.324094902905177;-475.80769936;-486.96650807;23791;85;2115;3851
71;71;0.416666666667;0.916666666667;0.25; -491.78230502;-487.74260223;13.890379605000618;-486.96336816;-491.24575055;16048;86;1639;2966
72;72;0.5;0.0;0.25; -490.17934675;-482.29471538;11.678014874210911;-486.07306684;-489.83569757;8705;75;1122;1956
73;73;0.5;0.0833333333333;0.25; -487.70784588;-470.75149605;10.177153335384771;-468.41712068;-485.28170602;15345;116;1792;3117
74;74;0.5;0.166666666667;0.25; -438.85476935;-470.75149605;13.304660860857542;-438.85476935;-485.28170602;1560;101;1560;1560
75;75;0.5;0.25;0.25; -425.74167383;-470.75149605;14.315670801061145;-425.74167383;-485.28170602;1162;77;1162;1162
76;76;0.5;0.333333333333;0.25; -438.85476582;-470.75149605;14.183825118565846;-438.85476582;-485.28170602;1562;101;1562;1562
77;77;0.5;0.416666666667;0.25; -487.70786474;-470.75149605;12.117676337486996;-468.41035448;-485.28170602;19991;124;1751;3120
78;78;0.5;0.5;0.25; -490.17953359;-482.29388721;12.459619681825268;-486.07311172;-489.83571453;7587;74;893;1553
79;79;0.5;0.583333333333;0.25; -492.02736697;-488.98179746;10.158027912502702;-490.20971251;-491.79918865;16136;78;1499;2812
