pbcIndex;aseIndex;x;y;d;energy;prePES;bondLengthRatio;energy. after 3 steps;energy. after 6 steps;energy_cpu;prePES_cpu;nsw3_cpu;nsw6_cpu;;;;;;;;;;;;;;;;;;blr;nsw6;-825,0156448;;energy;-826,7627867;;diffPES;diffPES;-828,5366362;prePESfltrd
0;0;0.0;0.0;0.4;-826.22986092;-825.76268187;20.435006371798213;-822.91173705;-824.43107204;14590;152;701;1265;;;;;;;;;;;;;;;;;;20.435006371798213;-824.43107204;-824,431072;-824,431072;-826.22986092;-826,2298609;-826,2298609;-1,79878888;-1.79878887999996;-825,7626819;-825,7626819
1;1;0.0125;0.0;0.4;-826.57400043;-826.49383657;20.497007473198927;-823.27344971;-824.77540665;14530;146;686;1251;;;;;;;;;;;;;;;;;;20.497007473198927;-824.77540665;-824,7754067;-824,7754067;-826.57400043;-826,5740004;-826,5740004;-1,79859378;-1.79859377999992;-826,4938366;-826,4938366
2;2;0.025;0.0;0.4;-826.75574735;-827.2846859;20.573227979204194;-823.54923729;-824.82337944;14431;146;562;1007;;;;;;;;;;;;;;;;;;20.573227979204194;-824.82337944;-824,8233794;-824,8233794;-826.75574735;-826,7557474;-826,7557474;-1,93236791;-1.93236790999993;-827,2846859;-827,2846859
3;3;0.0375;0.0;0.4;-826.76278671;-827.86795493;21.143932332068267;-823.52662346;-824.94381058;15245;146;599;1062;;;;;;;;;;;;;;;;;;21.143932332068267;-824.94381058;-824,9438106;-824,9438106;-826.76278671;-826,7627867;-826,7627867;-1,81897613;-1.81897613000001;-827,8679549;-827,8679549
4;4;0.05;0.0;0.4;-826.59995034;-828.38941533;21.822233152498509;-823.75474962;-824.90472053;19431;149;678;1203;;;;;;;;;;;;;;;;;;21.822233152498509;-824.90472053;-824,9047205;-824,9047205;-826.59995034;-826,5999503;-826,5999503;-1,69522981;-1.69522981;-828,3894153;-828,3894153
5;5;0.0625;0.0;0.4;-826.32296547;-828.5366362;22.521011768296013;-823.80390543;-824.79866533;31389;150;706;1228;;;;;;;;;;;;;;;;;;22.521011768296013;-824.79866533;-824,7986653;-824,7986653;-826.32296547;-826,3229655;-826,3229655;-1,52430014;-1.52430014000004;-828,5366362;-828,5366362
6;6;0.075;0.0;0.4;-825.94557116;-828.41993702;23.228038921309686;-823.43288502;-825.01564481;24061;150;544;1055;;;;;;;;;;;;;;;;;;23.228038921309686;-825.01564481;-825,0156448;-825,0156448;-825.94557116;-825,9455712;-825,9455712;-0,92992635;-0.92992634999996;-828,419937;-828,419937
7;7;0.0875;0.0;0.4;-825.76838669;-827.72467044;23.814123073600662;-822.79642784;-824.97035741;12067;153;740;1338;;;;;;;;;;;;;;;;;;23.814123073600662;-824.97035741;-824,9703574;-824,9703574;-825.76838669;-825,7683867;-825,7683867;-0,79802928;-0.798029280000037;-827,7246704;-827,7246704
8;8;0.1;0.0;0.4;-825.72992631;-826.57708272;24.275055739711735;-822.25257883;-824.93981981;14722;151;683;1192;;;;;;;;;;;;;;;;;;24.275055739711735;-824.93981981;-824,9398198;-824,9398198;-825.72992631;-825,7299263;-825,7299263;-0,7901065;-0.790106499999979;-826,5770827;-826,5770827
9;9;0.1125;0.0;0.4;-825.73735250;-824.72465938;24.4269906543601;-821.75104460;-823.97345622;14637;166;884;1358;;;;;;;;;;;;;;;;;;24.4269906543601;-823.97345622;-823,9734562;-823,9734562;-825.73735250;-825,7373525;-825,7373525;-1,76389628;-1.76389628000004;-824,7246594;-824,7246594
10;10;0.125;0.0;0.4;-825.82531700;-822.3903591;24.501403076116322;-820.85321457;-821.69335375;17762;146;921;1508;;;;;;;;;;;;;;;;;;24.501403076116322;-821.69335375;-821,6933538;-821,6933538;-825.82531700;-825,825317;-825,825317;-4,13196325;-4.13196325000001;-822,3903591;-822,3903591
11;11;0.1375;0.0;0.4;-825.92398011;-819.47031534;24.590235315648247;-819.22388696;-821.56993618;16038;152;976;1580;;;;;;;;;;;;;;;;;;24.590235315648247;-821.56993618;-821,5699362;-821,5699362;-825.92398011;-825,9239801;-825,9239801;-4,35404393;-4.35404392999999;-819,4703153;-819,4703153
12;12;0.15;0.0;0.4;-826.01762670;-816.37106312;24.803474576940069;-817.98298494;-823.72852482;16471;149;969;1618;;;;;;;;;;;;;;;;;;24.803474576940069;-823.72852482;-823,7285248;-823,7285248;-826.01762670;-826,0176267;-826,0176267;-2,28910188;-2.28910188000009;-816,3710631;-816,3710631
13;13;0.1625;0.0;0.4;-826.13071780;-813.17963047;25.030746235148026;-749.24231997;-820.82698747;17870;151;1173;1953;;;;;;;;;;;;;;;;;;25.030746235148026;-820.82698747;-820,8269875;-820,8269875;-826.13071780;-826,1307178;-826,1307178;-5,30373033;-5.30373033000001;-813,1796305;-813,1796305
14;14;0.175;0.0;0.4;-826.21680315;-810.46681829;25.280271357729639;-678.97942369;-817.92564177;12351;149;1403;2232;;;;;;;;;;;;;;;;;;25.280271357729639;-817.92564177;-817,9256418;-817,9256418;-826.21680315;-826,2168032;-826,2168032;-8,29116138;-8.29116138000006;-810,4668183;-810,4668183
15;15;0.1875;0.0;0.4;-826.28773661;-808.36166571;25.551241992711709;-802.91619585;-820.29376262;12262;166;1341;2073;;;;;;;;;;;;;;;;;;25.551241992711709;-820.29376262;-820,2937626;-820,2937626;-826.28773661;-826,2877366;-826,2877366;-5,99397399;-5.99397398999997;-808,3616657;-808,3616657
16;16;0.2;0.0;0.4;-826.34595220;-807.33720959;25.901049398600467;-812.64961451;-820.40634897;11084;150;1221;1785;;;;;;;;;;;;;;;;;;25.901049398600467;-820.40634897;-820,406349;-820,406349;-826.34595220;-826,3459522;-826,3459522;-5,93960323;-5.9396032300001;-807,3372096;-807,3372096
17;17;0.2125;0.0;0.4;-826.36148239;-807.26659551;25.948390864756838;-795.79791224;-820.01090575;13509;150;1467;2350;;;;;;;;;;;;;;;;;;25.948390864756838;-820.01090575;-820,0109058;-820,0109058;-826.36148239;-826,3614824;-826,3614824;-6,35057664;-6.35057663999999;-807,2665955;-807,2665955
